Class1,Property,object
http://data.gwsw.nl/1.6/totaal/Aansluitpunt,isAspectOf,http://data.gwsw.nl/1.6/totaal/Aansluitput
http://data.gwsw.nl/1.6/totaal/Hemelwaterriool,isPartOf,http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel
http://data.gwsw.nl/1.6/totaal/Hemelwaterriool,hasAspect,http://data.gwsw.nl/1.6/totaal/AantalWoningen
http://data.gwsw.nl/1.6/totaal/Hemelwaterriool,hasAspect,http://data.gwsw.nl/1.6/totaal/LateraalAfvoerendOppervlak
http://data.gwsw.nl/1.6/totaal/Hemelwaterriool,hasAspect,http://data.gwsw.nl/1.6/totaal/LateraalDebietHWA
http://data.gwsw.nl/1.6/totaal/Hemelwaterriool,isPartOf,http://data.gwsw.nl/1.6/totaal/GemengdStelsel
http://data.gwsw.nl/1.6/totaal/Hemelwaterriool,isPartOf,http://data.gwsw.nl/1.6/totaal/DrainageInfiltratieTransportStelsel
http://data.gwsw.nl/1.6/totaal/Hemelwaterriool,isPartOf,http://data.gwsw.nl/1.6/totaal/DrainageTransportStelsel
http://data.gwsw.nl/1.6/totaal/Vuilwaterriool,hasAspect,http://data.gwsw.nl/1.6/totaal/AantalWoningen
http://data.gwsw.nl/1.6/totaal/Vuilwaterriool,hasAspect,http://data.gwsw.nl/1.6/totaal/Aantal_ieBedrijven
http://data.gwsw.nl/1.6/totaal/Vuilwaterriool,hasAspect,http://data.gwsw.nl/1.6/totaal/Aantal_ieRecreatie
http://data.gwsw.nl/1.6/totaal/Vuilwaterriool,hasAspect,http://data.gwsw.nl/1.6/totaal/LateraalDebietDWA
http://data.gwsw.nl/1.6/totaal/Vuilwaterriool,isPartOf,http://data.gwsw.nl/1.6/totaal/GemengdStelsel
http://data.gwsw.nl/1.6/totaal/Vuilwaterriool,isPartOf,http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel
http://data.gwsw.nl/1.6/totaal/Rioolput,hasPart,https://data.crow.nl/imbor/def/9EE5BD00-C5A8-4D8B-871A-CD3B4EDDD9DF
http://data.gwsw.nl/1.6/totaal/Rioolput,hasAspect,http://data.gwsw.nl/1.6/totaal/Invoer
http://data.gwsw.nl/1.6/totaal/Rioolput,hasAspect,http://data.gwsw.nl/1.6/totaal/LengteToegang
http://data.gwsw.nl/1.6/totaal/Rioolput,hasConnection,http://data.gwsw.nl/1.6/totaal/VrijvervalRioolleiding
http://data.gwsw.nl/1.6/totaal/Rioolput,hasAspect,http://data.gwsw.nl/1.6/totaal/BergendOppervlak
http://data.gwsw.nl/1.6/totaal/Rioolput,hasAspect,http://data.gwsw.nl/1.6/totaal/Maaiveldschematisering
http://data.gwsw.nl/1.6/totaal/Rioolput,hasAspect,http://data.gwsw.nl/1.6/totaal/AantalWoningen
http://data.gwsw.nl/1.6/totaal/Rioolput,hasAspect,http://data.gwsw.nl/1.6/totaal/Aantal_ieBedrijven
http://data.gwsw.nl/1.6/totaal/Rioolput,hasAspect,http://data.gwsw.nl/1.6/totaal/ContinueLozing
http://data.gwsw.nl/1.6/totaal/Rioolput,hasAspect,http://data.gwsw.nl/1.6/totaal/Aantal_ieRecreatie
http://data.gwsw.nl/1.6/totaal/Rioolput,hasAspect,http://data.gwsw.nl/1.6/totaal/LateraalAfvoerendOppervlak
http://data.gwsw.nl/1.6/totaal/Rioolput,hasPart,http://data.gwsw.nl/1.6/totaal/Rioolafsluiter
http://data.gwsw.nl/1.6/totaal/Rioolput,hasPart,http://data.gwsw.nl/1.6/totaal/Putdeksel
http://data.gwsw.nl/1.6/totaal/Rioolput,hasPart,http://data.gwsw.nl/1.6/totaal/Putschacht
http://data.gwsw.nl/1.6/totaal/Rioolput,hasPart,http://data.gwsw.nl/1.6/totaal/Coating
http://data.gwsw.nl/1.6/totaal/Rioolput,hasPart,https://data.crow.nl/imbor/def/EB911448-1C62-4B00-881C-B14DD6DB1E2B
http://data.gwsw.nl/1.6/totaal/Rioolput,hasAspect,http://data.gwsw.nl/1.6/totaal/Bodemprofiel
http://data.gwsw.nl/1.6/totaal/GemengdRiool,hasAspect,http://data.gwsw.nl/1.6/totaal/Aantal_ieBedrijven
http://data.gwsw.nl/1.6/totaal/GemengdRiool,hasAspect,http://data.gwsw.nl/1.6/totaal/AantalWoningen
http://data.gwsw.nl/1.6/totaal/GemengdRiool,hasAspect,http://data.gwsw.nl/1.6/totaal/Aantal_ieRecreatie
http://data.gwsw.nl/1.6/totaal/GemengdRiool,hasAspect,http://data.gwsw.nl/1.6/totaal/LateraalAfvoerendOppervlak
http://data.gwsw.nl/1.6/totaal/GemengdRiool,isPartOf,http://data.gwsw.nl/1.6/totaal/GemengdStelsel
http://data.gwsw.nl/1.6/totaal/Compartiment,isPartOf,http://data.gwsw.nl/1.6/totaal/Overstortput
http://data.gwsw.nl/1.6/totaal/Compartiment,isPartOf,http://data.gwsw.nl/1.6/totaal/Stuwput
http://data.gwsw.nl/1.6/totaal/Compartiment,hasAspect,http://data.gwsw.nl/1.6/totaal/Compartimentorientatie
http://data.gwsw.nl/1.6/totaal/Compartiment,hasPart,http://data.gwsw.nl/1.6/totaal/Pomp
http://data.gwsw.nl/1.6/totaal/Compartiment,isPartOf,http://data.gwsw.nl/1.6/totaal/BijzonderePutconstructie
http://data.gwsw.nl/1.6/totaal/Compartiment,isPartOf,http://data.gwsw.nl/1.6/totaal/Gemaal
http://data.gwsw.nl/1.6/totaal/Compartiment,isPartOf,http://data.gwsw.nl/1.6/totaal/Reservoir
http://data.gwsw.nl/1.6/totaal/Compartiment,isPartOf,http://data.gwsw.nl/1.6/totaal/Septictank
http://data.gwsw.nl/1.6/totaal/Compartiment,hasAspect,http://data.gwsw.nl/1.6/totaal/AantalWoningen
http://data.gwsw.nl/1.6/totaal/Compartiment,hasAspect,http://data.gwsw.nl/1.6/totaal/Aantal_ieBedrijven
http://data.gwsw.nl/1.6/totaal/Compartiment,hasAspect,http://data.gwsw.nl/1.6/totaal/Aantal_ieRecreatie
http://data.gwsw.nl/1.6/totaal/Compartiment,hasAspect,http://data.gwsw.nl/1.6/totaal/LateraalAfvoerendOppervlak
http://data.gwsw.nl/1.6/totaal/Compartiment,isPartOf,http://data.gwsw.nl/1.6/totaal/Pompput
http://data.gwsw.nl/1.6/totaal/Compartiment,isPartOf,http://data.gwsw.nl/1.6/totaal/Pompunit
http://data.gwsw.nl/1.6/totaal/Bedrijfslocatie,hasAspect,http://data.gwsw.nl/1.6/totaal/Aantal_ieBedrijven
http://data.gwsw.nl/1.6/totaal/Perceel,hasAspect,https://data.crow.nl/imbor/def/3704FDDE-4D32-4E32-9658-84E0703DA829
http://data.gwsw.nl/1.6/totaal/Perceel,hasPart,http://data.gwsw.nl/1.6/totaal/Perceelaansluitpunt
http://data.gwsw.nl/1.6/totaal/Perceelaansluitpunt,isPartOf,http://data.gwsw.nl/1.6/totaal/Perceelaansluiting
http://data.gwsw.nl/1.6/totaal/Perceelaansluitpunt,hasConnection,http://data.gwsw.nl/1.6/totaal/Beerput
http://data.gwsw.nl/1.6/totaal/Perceelaansluitpunt,hasConnection,http://data.gwsw.nl/1.6/totaal/Helofytenfilter
http://data.gwsw.nl/1.6/totaal/Perceelaansluitpunt,hasConnection,http://data.gwsw.nl/1.6/totaal/IBA
http://data.gwsw.nl/1.6/totaal/Perceelaansluitpunt,hasConnection,http://data.gwsw.nl/1.6/totaal/Perceelaansluitleiding
http://data.gwsw.nl/1.6/totaal/Perceelaansluitpunt,hasAspect,https://data.crow.nl/imbor/def/B62A7BBD-C8BD-4700-99BA-F39EBE48EAA1
http://data.gwsw.nl/1.6/totaal/Perceelaansluitpunt,hasAspect,http://data.gwsw.nl/1.6/totaal/Lozingsvergunningnummer
http://data.gwsw.nl/1.6/totaal/Perceelaansluitpunt,isPartOf,http://data.gwsw.nl/1.6/totaal/Perceel
http://data.gwsw.nl/1.6/totaal/Perceelaansluitpunt,hasAspect,https://data.crow.nl/imbor/def/3704FDDE-4D32-4E32-9658-84E0703DA829
http://data.gwsw.nl/1.6/totaal/Perceelaansluitpunt,hasAspect,http://data.gwsw.nl/1.6/totaal/Lozingseisen
http://data.gwsw.nl/1.6/totaal/Overnamepunt,isPartOf,http://data.gwsw.nl/1.6/totaal/Transportstelsel
http://data.gwsw.nl/1.6/totaal/Overnamepunt,isPartOf,http://data.gwsw.nl/1.6/totaal/VrijvervalRioolstelsel
http://data.gwsw.nl/1.6/totaal/Overnamepunt,isPartOf,http://data.gwsw.nl/1.6/totaal/MechanischRioolstelsel
http://data.gwsw.nl/1.6/totaal/Overnamepunt,hasAspect,https://data.crow.nl/imbor/def/3704FDDE-4D32-4E32-9658-84E0703DA829
http://data.gwsw.nl/1.6/totaal/Overnamepunt,hasAspect,http://data.gwsw.nl/1.6/totaal/Lozingseisen
